	success	tried	health
http://162.216.155.136:3127	0.0	3.0	1.0
http://162.242.166.243:3128	0.0	1.0	1.0
http://23.239.4.145:9999	0.0	4.0	1.0
http://199.200.120.140:3127	0.0	2.0	1.0
http://23.25.88.181:8080	2.0	4.0	1.0
http://23.105.14.190:3128	1.0	4.0	1.0
http://50.202.180.46:8080	1.0	4.0	1.0
http://108.165.33.4:3128	0.0	4.0	1.0
http://50.247.152.73:8080	2.0	2.0	1.0
http://104.140.67.36:7808	0.0	4.0	1.0
http://107.182.17.243:7808	1.0	4.0	1.0
http://72.47.8.102:21320	0.0	4.0	1.0
http://216.218.216.201:7808	0.0	1.0	1.0
http://162.208.49.45:7808	0.0	3.0	1.0
http://108.165.33.8:3128	0.0	1.0	1.0
http://173.174.252.194:21320	0.0	3.0	1.0
http://128.135.170.204:8088	0.0	3.0	1.0
http://23.102.141.185:80	2.0	4.0	1.0
http://69.64.32.110:6363	0.0	3.0	1.0
http://38.123.140.84:9999	2.0	3.0	1.0
http://24.249.137.246:21320	0.0	4.0	1.0
http://108.165.33.10:3128	0.0	2.0	1.0
http://72.47.154.135:9064	0.0	3.0	1.0
http://104.33.155.66:9064	0.0	1.0	1.0
http://73.52.68.212:21320	0.0	4.0	1.0
http://107.17.246.100:21320	0.0	1.0	1.0
http://72.199.179.18:9064	0.0	3.0	1.0
http://76.4.167.184:21320	0.0	4.0	1.0
http://161.6.41.182:21320	0.0	3.0	1.0
http://24.98.203.187:9064	0.0	3.0	1.0
http://104.148.77.242:8088	0.0	1.0	1.0
http://76.182.185.210:21320	0.0	3.0	1.0
http://67.80.45.80:21320	0.0	2.0	1.0
http://107.195.133.65:9064	0.0	4.0	1.0
http://64.31.22.143:3127	3.0	6.0	0.5
http://108.165.33.6:3128	2.0	5.0	0.4
http://198.1.89.11:9090	2.0	5.0	0.4
http://64.31.22.131:3127	2.0	5.0	0.4
http://67.252.141.251:21320	1.0	5.0	0.2
http://69.126.180.13:21320	1.0	5.0	0.2
http://54.169.116.91:3128	1.0	5.0	0.2
http://74.50.126.249:7808	1.0	5.0	0.2
http://216.189.0.235:7808	1.0	5.0	0.2
http://24.177.141.191:3128	1.0	5.0	0.2
http://50.178.161.26:21320	1.0	5.0	0.2
http://107.182.16.221:7808	1.0	5.0	0.2
http://71.233.32.233:9064	1.0	5.0	0.2
http://50.207.23.115:8080	1.0	5.0	0.2
http://69.197.148.18:7808	0.0	5.0	0.0
http://208.61.1.17:21320	0.0	5.0	0.0
http://71.236.68.145:21320	0.0	5.0	0.0
http://69.105.28.226:9064	0.0	5.0	0.0
http://69.162.202.204:21320	0.0	5.0	0.0
http://54.165.44.66:3128	0.0	5.0	0.0
http://96.126.101.242:9999	0.0	5.0	0.0
http://162.220.52.175:7808	0.0	5.0	0.0
http://64.184.34.146:9064	0.0	5.0	0.0
http://74.50.126.248:3127	0.0	5.0	0.0
http://67.207.166.174:7808	0.0	5.0	0.0
http://209.170.151.142:8089	0.0	5.0	0.0
http://69.116.212.178:21320	0.0	5.0	0.0
